No,Asset ID,Nama Aset,Merek,Model/Tipe,Kategori,Lokasi,Tanggal Beli,Harga,Status
1,AST-A77ED16C,Thinclient 19800029,-,Thinclient,-,Gudang 2 IT Support,-,-,Active
2,AST-C7307D2A,Thinclient 19800015,-,Thinclient,-,Gudang 2 IT Support,-,-,Active
3,AST-8F26AF0C,Thinclient 19800033,-,Thinclient,-,Gudang 2 IT Support,-,-,Active
4,AST-D87DBDB0,Kursi Biru Berlengan Belogo UBM,UBM,Kursi,Furniture,General Supports - Kampus Serpong,-,-,Active
5,AST-FD95E810,Kursi Biru Berlengan Belogo UBM,UBM,Kursi,Furniture,Gudang GA Lantai 15 (Serpong),-,-,Active
6,AST-EABA6E94,Kursi Biru Berlengan Belogo UBM,UBM,Kursi,Furniture,General Supports - Kampus Serpong,-,-,Active
7,AST-1C66C313,Kursi Biru Berlengan Belogo UBM,UBM,Kursi,Furniture,General Supports - Kampus Serpong,-,-,Active
8,AST-05DF94A6,Kursi Biru Berlengan Belogo UBM,-,Kursi,Furniture,General Supports - Kampus Serpong,-,-,Active
9,AST-AD30B8A2,Kursi Biru Berlengan Belogo UBM,UBM,Kursi,Furniture,General Supports - Kampus Serpong,-,-,Active
10,AST-566D9B90,Toyota HiAce Commuter,Toyota,HiAce Commuter,Vehicle,Warehouse B,2026-05-10,Rp 450.000.000,Active
